run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-14-20240904-20:32:30-25926,runattr,,,repetition,0,,,
General-14-20240904-20:32:30-25926,runattr,,,replication,#0,,,
General-14-20240904-20:32:30-25926,runattr,,,resultdir,results,,,
General-14-20240904-20:32:30-25926,runattr,,,runnumber,14,,,
General-14-20240904-20:32:30-25926,runattr,,,seedset,14,,,
General-14-20240904-20:32:30-25926,param,,,RandomGrid.poweroff_rate,70,,,
General-14-20240904-20:32:30-25926,param,,,RandomGrid.g_syn_scheme,2,,,
General-14-20240904-20:32:30-25926,param,,,RandomGrid.g_ic_syn_cycle,6,,,
General-14-20240904-20:32:30-25926,param,,,RandomGrid.g_ic_num,6,,,
General-14-20240904-20:32:30-25926,param,,,RandomGrid.g_energy_model,0,,,
General-14-20240904-20:32:30-25926,param,,,RandomGrid.sink.node_type,0,,,
General-14-20240904-20:32:30-25926,param,,,RandomGrid.icc.node_type,2,,,
General-14-20240904-20:32:30-25926,param,,,RandomGrid.ic[*].node_type,1,,,
General-14-20240904-20:32:30-25926,param,,,RandomGrid.ic[*].g_if_produce_packets,false,,,
General-5-20240904-20:31:27-25926,runattr,,,configname,General,,,
General-5-20240904-20:31:27-25926,runattr,,,datetime,20240904-20:31:27,,,
General-5-20240904-20:31:27-25926,runattr,,,experiment,General,,,
General-5-20240904-20:31:27-25926,runattr,,,inifile,omnetpp.ini,,,
General-5-20240904-20:31:27-25926,runattr,,,iterationvars,"$0=1, $1=2",,,
General-5-20240904-20:31:27-25926,runattr,,,iterationvarsf,"1,2-",,,
General-5-20240904-20:31:27-25926,runattr,,,measurement,"$0=1, $1=2",,,
General-5-20240904-20:31:27-25926,runattr,,,network,RandomGrid,,,
General-5-20240904-20:31:27-25926,runattr,,,processid,25926,,,
General-5-20240904-20:31:27-25926,runattr,,,repetition,0,,,
General-5-20240904-20:31:27-25926,runattr,,,replication,#0,,,
General-5-20240904-20:31:27-25926,runattr,,,resultdir,results,,,
General-5-20240904-20:31:27-25926,runattr,,,runnumber,5,,,
General-5-20240904-20:31:27-25926,runattr,,,seedset,5,,,
General-5-20240904-20:31:27-25926,param,,,RandomGrid.poweroff_rate,1,,,
General-5-20240904-20:31:27-25926,param,,,RandomGrid.g_syn_scheme,2,,,
General-5-20240904-20:31:27-25926,param,,,RandomGrid.g_ic_syn_cycle,6,,,
General-5-20240904-20:31:27-25926,param,,,RandomGrid.g_ic_num,6,,,
General-5-20240904-20:31:27-25926,param,,,RandomGrid.g_energy_model,0,,,
General-5-20240904-20:31:27-25926,param,,,RandomGrid.sink.node_type,0,,,
General-5-20240904-20:31:27-25926,param,,,RandomGrid.icc.node_type,2,,,
General-5-20240904-20:31:27-25926,param,,,RandomGrid.ic[*].node_type,1,,,
General-5-20240904-20:31:27-25926,param,,,RandomGrid.ic[*].g_if_produce_packets,false,,,
General-9-20240904-20:31:53-25926,runattr,,,configname,General,,,
General-9-20240904-20:31:53-25926,runattr,,,datetime,20240904-20:31:53,,,
General-9-20240904-20:31:53-25926,runattr,,,experiment,General,,,
General-9-20240904-20:31:53-25926,runattr,,,inifile,omnetpp.ini,,,
General-9-20240904-20:31:53-25926,runattr,,,iterationvars,"$0=50, $1=0",,,
General-9-20240904-20:31:53-25926,runattr,,,iterationvarsf,"50,0-",,,
General-9-20240904-20:31:53-25926,runattr,,,measurement,"$0=50, $1=0",,,
General-9-20240904-20:31:53-25926,runattr,,,network,RandomGrid,,,
General-9-20240904-20:31:53-25926,runattr,,,processid,25926,,,
General-9-20240904-20:31:53-25926,runattr,,,repetition,0,,,
General-9-20240904-20:31:53-25926,runattr,,,replication,#0,,,
General-9-20240904-20:31:53-25926,runattr,,,resultdir,results,,,
General-9-20240904-20:31:53-25926,runattr,,,runnumber,9,,,
General-9-20240904-20:31:53-25926,runattr,,,seedset,9,,,
General-9-20240904-20:31:53-25926,param,,,RandomGrid.poweroff_rate,50,,,
General-9-20240904-20:31:53-25926,param,,,RandomGrid.g_syn_scheme,0,,,
General-9-20240904-20:31:53-25926,param,,,RandomGrid.g_ic_syn_cycle,6,,,
General-9-20240904-20:31:53-25926,param,,,RandomGrid.g_ic_num,6,,,
General-9-20240904-20:31:53-25926,param,,,RandomGrid.g_energy_model,0,,,
General-9-20240904-20:31:53-25926,param,,,RandomGrid.sink.node_type,0,,,
General-9-20240904-20:31:53-25926,param,,,RandomGrid.icc.node_type,2,,,
General-9-20240904-20:31:53-25926,param,,,RandomGrid.ic[*].node_type,1,,,
General-9-20240904-20:31:53-25926,param,,,RandomGrid.ic[*].g_if_produce_packets,false,,,
General-18-20240904-20:33:02-25926,runattr,,,configname,General,,,
General-18-20240904-20:33:02-25926,runattr,,,datetime,20240904-20:33:02,,,
General-18-20240904-20:33:02-25926,runattr,,,experiment,General,,,
General-18-20240904-20:33:02-25926,runattr,,,inifile,omnetpp.ini,,,
General-18-20240904-20:33:02-25926,runattr,,,iterationvars,"$0=100, $1=0",,,
General-18-20240904-20:33:02-25926,runattr,,,iterationvarsf,"100,0-",,,
General-18-20240904-20:33:02-25926,runattr,,,measurement,"$0=100, $1=0",,,
General-18-20240904-20:33:02-25926,runattr,,,network,RandomGrid,,,
General-18-20240904-20:33:02-25926,runattr,,,processid,25926,,,
General-18-20240904-20:33:02-25926,runattr,,,repetition,0,,,
General-18-20240904-20:33:02-25926,runattr,,,replication,#0,,,
General-18-20240904-20:33:02-25926,runattr,,,resultdir,results,,,
General-18-20240904-20:33:02-25926,runattr,,,runnumber,18,,,
General-18-20240904-20:33:02-25926,runattr,,,seedset,18,,,
General-18-20240904-20:33:02-25926,param,,,RandomGrid.poweroff_rate,100,,,
General-18-20240904-20:33:02-25926,param,,,RandomGrid.g_syn_scheme,0,,,
General-18-20240904-20:33:02-25926,param,,,RandomGrid.g_ic_syn_cycle,6,,,
General-18-20240904-20:33:02-25926,param,,,RandomGrid.g_ic_num,6,,,
General-18-20240904-20:33:02-25926,param,,,RandomGrid.g_energy_model,0,,,
General-18-20240904-20:33:02-25926,param,,,RandomGrid.sink.node_type,0,,,
General-18-20240904-20:33:02-25926,param,,,RandomGrid.icc.node_type,2,,,
General-18-20240904-20:33:02-25926,param,,,RandomGrid.ic[*].node_type,1,,,
General-18-20240904-20:33:02-25926,param,,,RandomGrid.ic[*].g_if_produce_packets,false,,,
General-17-20240904-20:32:55-25926,runattr,,,configname,General,,,
General-17-20240904-20:32:55-25926,runattr,,,datetime,20240904-20:32:55,,,
General-17-20240904-20:32:55-25926,runattr,,,experiment,General,,,
General-17-20240904-20:32:55-25926,runattr,,,inifile,omnetpp.ini,,,
General-17-20240904-20:32:55-25926,runattr,,,iterationvars,"$0=90, $1=2",,,
General-17-20240904-20:32:55-25926,runattr,,,iterationvarsf,"90,2-",,,
General-17-20240904-20:32:55-25926,runattr,,,measurement,"$0=90, $1=2",,,
General-17-20240904-20:32:55-25926,runattr,,,network,RandomGrid,,,
General-17-20240904-20:32:55-25926,runattr,,,processid,25926,,,
General-17-20240904-20:32:55-25926,runattr,,,repetition,0,,,
General-17-20240904-20:32:55-25926,runattr,,,replication,#0,,,
General-17-20240904-20:32:55-25926,runattr,,,resultdir,results,,,
General-17-20240904-20:32:55-25926,runattr,,,runnumber,17,,,
General-17-20240904-20:32:55-25926,runattr,,,seedset,17,,,
General-17-20240904-20:32:55-25926,param,,,RandomGrid.poweroff_rate,90,,,
General-17-20240904-20:32:55-25926,param,,,RandomGrid.g_syn_scheme,2,,,
General-17-20240904-20:32:55-25926,param,,,RandomGrid.g_ic_syn_cycle,6,,,
General-17-20240904-20:32:55-25926,param,,,RandomGrid.g_ic_num,6,,,
General-17-20240904-20:32:55-25926,param,,,RandomGrid.g_energy_model,0,,,
General-17-20240904-20:32:55-25926,param,,,RandomGrid.sink.node_type,0,,,
General-17-20240904-20:32:55-25926,param,,,RandomGrid.icc.node_type,2,,,
General-17-20240904-20:32:55-25926,param,,,RandomGrid.ic[*].node_type,1,,,
General-17-20240904-20:32:55-25926,param,,,RandomGrid.ic[*].g_if_produce_packets,false,,,
General-20-20240904-20:33:21-25926,runattr,,,configname,General,,,
General-20-20240904-20:33:21-25926,runattr,,,datetime,20240904-20:33:21,,,
General-20-20240904-20:33:21-25926,runattr,,,experiment,General,,,
General-20-20240904-20:33:21-25926,runattr,,,inifile,omnetpp.ini,,,
General-20-20240904-20:33:21-25926,runattr,,,iterationvars,"$0=100, $1=2",,,
General-20-20240904-20:33:21-25926,runattr,,,iterationvarsf,"100,2-",,,
General-20-20240904-20:33:21-25926,runattr,,,measurement,"$0=100, $1=2",,,
General-20-20240904-20:33:21-25926,runattr,,,network,RandomGrid,,,
General-20-20240904-20:33:21-25926,runattr,,,processid,25926,,,
General-20-20240904-20:33:21-25926,runattr,,,repetition,0,,,
General-20-20240904-20:33:21-25926,runattr,,,replication,#0,,,
General-20-20240904-20:33:21-25926,runattr,,,resultdir,results,,,
General-20-20240904-20:33:21-25926,runattr,,,runnumber,20,,,
General-20-20240904-20:33:21-25926,runattr,,,seedset,20,,,
General-20-20240904-20:33:21-25926,param,,,RandomGrid.poweroff_rate,100,,,
General-20-20240904-20:33:21-25926,param,,,RandomGrid.g_syn_scheme,2,,,
General-20-20240904-20:33:21-25926,param,,,RandomGrid.g_ic_syn_cycle,6,,,
General-20-20240904-20:33:21-25926,param,,,RandomGrid.g_ic_num,6,,,
General-20-20240904-20:33:21-25926,param,,,RandomGrid.g_energy_model,0,,,
General-20-20240904-20:33:21-25926,param,,,RandomGrid.sink.node_type,0,,,
General-20-20240904-20:33:21-25926,param,,,RandomGrid.icc.node_type,2,,,
General-20-20240904-20:33:21-25926,param,,,RandomGrid.ic[*].node_type,1,,,
General-20-20240904-20:33:21-25926,param,,,RandomGrid.ic[*].g_if_produce_packets,false,,,
General-19-20240904-20:33:13-25926,runattr,,,configname,General,,,
General-19-20240904-20:33:13-25926,runattr,,,datetime,20240904-20:33:13,,,
General-19-20240904-20:33:13-25926,runattr,,,experiment,General,,,
General-19-20240904-20:33:13-25926,runattr,,,inifile,omnetpp.ini,,,
General-19-20240904-20:33:13-25926,runattr,,,iterationvars,"$0=100, $1=1",,,
General-19-20240904-20:33:13-25926,runattr,,,iterationvarsf,"100,1-",,,
General-19-20240904-20:33:13-25926,runattr,,,measurement,"$0=100, $1=1",,,
General-19-20240904-20:33:13-25926,runattr,,,network,RandomGrid,,,
General-19-20240904-20:33:13-25926,runattr,,,processid,25926,,,
General-19-20240904-20:33:13-25926,runattr,,,repetition,0,,,
General-19-20240904-20:33:13-25926,runattr,,,replication,#0,,,
General-19-20240904-20:33:13-25926,runattr,,,resultdir,results,,,
General-19-20240904-20:33:13-25926,runattr,,,runnumber,19,,,
General-19-20240904-20:33:13-25926,runattr,,,seedset,19,,,
General-19-20240904-20:33:13-25926,param,,,RandomGrid.poweroff_rate,100,,,
General-19-20240904-20:33:13-25926,param,,,RandomGrid.g_syn_scheme,1,,,
General-19-20240904-20:33:13-25926,param,,,RandomGrid.g_ic_syn_cycle,6,,,
General-19-20240904-20:33:13-25926,param,,,RandomGrid.g_ic_num,6,,,
General-19-20240904-20:33:13-25926,param,,,RandomGrid.g_energy_model,0,,,
General-19-20240904-20:33:13-25926,param,,,RandomGrid.sink.node_type,0,,,
General-19-20240904-20:33:13-25926,param,,,RandomGrid.icc.node_type,2,,,
General-19-20240904-20:33:13-25926,param,,,RandomGrid.ic[*].node_type,1,,,
General-19-20240904-20:33:13-25926,param,,,RandomGrid.ic[*].g_if_produce_packets,false,,,
General-16-20240904-20:32:47-25926,runattr,,,configname,General,,,
General-16-20240904-20:32:47-25926,runattr,,,datetime,20240904-20:32:47,,,
General-16-20240904-20:32:47-25926,runattr,,,experiment,General,,,
General-16-20240904-20:32:47-25926,runattr,,,inifile,omnetpp.ini,,,
General-16-20240904-20:32:47-25926,runattr,,,iterationvars,"$0=90, $1=1",,,
General-16-20240904-20:32:47-25926,runattr,,,iterationvarsf,"90,1-",,,
General-16-20240904-20:32:47-25926,runattr,,,measurement,"$0=90, $1=1",,,
General-16-20240904-20:32:47-25926,runattr,,,network,RandomGrid,,,
General-16-20240904-20:32:47-25926,runattr,,,processid,25926,,,
General-16-20240904-20:32:47-25926,runattr,,,repetition,0,,,
General-16-20240904-20:32:47-25926,runattr,,,replication,#0,,,
General-16-20240904-20:32:47-25926,runattr,,,resultdir,results,,,
General-16-20240904-20:32:47-25926,runattr,,,runnumber,16,,,
General-16-20240904-20:32:47-25926,runattr,,,seedset,16,,,
General-16-20240904-20:32:47-25926,param,,,RandomGrid.poweroff_rate,90,,,
General-16-20240904-20:32:47-25926,param,,,RandomGrid.g_syn_scheme,1,,,
General-16-20240904-20:32:47-25926,param,,,RandomGrid.g_ic_syn_cycle,6,,,
General-16-20240904-20:32:47-25926,param,,,RandomGrid.g_ic_num,6,,,
General-16-20240904-20:32:47-25926,param,,,RandomGrid.g_energy_model,0,,,
General-16-20240904-20:32:47-25926,param,,,RandomGrid.sink.node_type,0,,,
General-16-20240904-20:32:47-25926,param,,,RandomGrid.icc.node_type,2,,,
General-16-20240904-20:32:47-25926,param,,,RandomGrid.ic[*].node_type,1,,,
General-16-20240904-20:32:47-25926,param,,,RandomGrid.ic[*].g_if_produce_packets,false,,,
General-1-20240904-19:36:57-25926,vector,RandomGrid.sink,sim_time:vector,,,,"180.536","180.536"
General-1-20240904-19:36:57-25926,attr,RandomGrid.sink,sim_time:vector,interpolationmode,none,,,
General-1-20240904-19:36:57-25926,attr,RandomGrid.sink,sim_time:vector,source,sim_time,,,
General-1-20240904-19:36:57-25926,attr,RandomGrid.sink,sim_time:vector,title,"simTime, vector",,,
General-2-20240904-19:36:59-25926,vector,RandomGrid.sink,sim_time:vector,,,,"992.012","992.012"
General-2-20240904-19:36:59-25926,attr,RandomGrid.sink,sim_time:vector,interpolationmode,none,,,
General-2-20240904-19:36:59-25926,attr,RandomGrid.sink,sim_time:vector,source,sim_time,,,
General-2-20240904-19:36:59-25926,attr,RandomGrid.sink,sim_time:vector,title,"simTime, vector",,,
General-3-20240904-19:37:04-25926,vector,RandomGrid.sink,sim_time:vector,,,,"3045.407","3045.407"
General-3-20240904-19:37:04-25926,attr,RandomGrid.sink,sim_time:vector,interpolationmode,none,,,
General-3-20240904-19:37:04-25926,attr,RandomGrid.sink,sim_time:vector,source,sim_time,,,
General-3-20240904-19:37:04-25926,attr,RandomGrid.sink,sim_time:vector,title,"simTime, vector",,,
General-5-20240904-20:31:27-25926,vector,RandomGrid.sink,sim_time:vector,,,,"1047.923","1047.923"
General-5-20240904-20:31:27-25926,attr,RandomGrid.sink,sim_time:vector,interpolationmode,none,,,
General-5-20240904-20:31:27-25926,attr,RandomGrid.sink,sim_time:vector,source,sim_time,,,
General-5-20240904-20:31:27-25926,attr,RandomGrid.sink,sim_time:vector,title,"simTime, vector",,,
General-6-20240904-20:31:32-25926,vector,RandomGrid.sink,sim_time:vector,,,,"4367.447","4367.447"
General-6-20240904-20:31:32-25926,attr,RandomGrid.sink,sim_time:vector,interpolationmode,none,,,
General-6-20240904-20:31:32-25926,attr,RandomGrid.sink,sim_time:vector,source,sim_time,,,
General-6-20240904-20:31:32-25926,attr,RandomGrid.sink,sim_time:vector,title,"simTime, vector",,,
General-7-20240904-20:31:39-25926,vector,RandomGrid.sink,sim_time:vector,,,,"6490.993","6490.993"
General-7-20240904-20:31:39-25926,attr,RandomGrid.sink,sim_time:vector,interpolationmode,none,,,
General-7-20240904-20:31:39-25926,attr,RandomGrid.sink,sim_time:vector,source,sim_time,,,
General-7-20240904-20:31:39-25926,attr,RandomGrid.sink,sim_time:vector,title,"simTime, vector",,,
General-8-20240904-20:31:48-25926,vector,RandomGrid.sink,sim_time:vector,,,,"1176.361","1176.361"
General-8-20240904-20:31:48-25926,attr,RandomGrid.sink,sim_time:vector,interpolationmode,none,,,
General-8-20240904-20:31:48-25926,attr,RandomGrid.sink,sim_time:vector,source,sim_time,,,
General-8-20240904-20:31:48-25926,attr,RandomGrid.sink,sim_time:vector,title,"simTime, vector",,,
General-9-20240904-20:31:53-25926,vector,RandomGrid.sink,sim_time:vector,,,,"5628.356","5628.356"
General-9-20240904-20:31:53-25926,attr,RandomGrid.sink,sim_time:vector,interpolationmode,none,,,
General-9-20240904-20:31:53-25926,attr,RandomGrid.sink,sim_time:vector,source,sim_time,,,
General-9-20240904-20:31:53-25926,attr,RandomGrid.sink,sim_time:vector,title,"simTime, vector",,,
General-10-20240904-20:32:01-25926,vector,RandomGrid.sink,sim_time:vector,,,,"5217.575","5217.575"
General-10-20240904-20:32:01-25926,attr,RandomGrid.sink,sim_time:vector,interpolationmode,none,,,
General-10-20240904-20:32:01-25926,attr,RandomGrid.sink,sim_time:vector,source,sim_time,,,
General-10-20240904-20:32:01-25926,attr,RandomGrid.sink,sim_time:vector,title,"simTime, vector",,,
General-11-20240904-20:32:08-25926,vector,RandomGrid.sink,sim_time:vector,,,,"1982.895","1982.895"
General-11-20240904-20:32:08-25926,attr,RandomGrid.sink,sim_time:vector,interpolationmode,none,,,
General-11-20240904-20:32:08-25926,attr,RandomGrid.sink,sim_time:vector,source,sim_time,,,
General-11-20240904-20:32:08-25926,attr,RandomGrid.sink,sim_time:vector,title,"simTime, vector",,,
General-12-20240904-20:32:14-25926,vector,RandomGrid.sink,sim_time:vector,,,,"6783.469","6783.469"
General-12-20240904-20:32:14-25926,attr,RandomGrid.sink,sim_time:vector,interpolationmode,none,,,
General-12-20240904-20:32:14-25926,attr,RandomGrid.sink,sim_time:vector,source,sim_time,,,
General-12-20240904-20:32:14-25926,attr,RandomGrid.sink,sim_time:vector,title,"simTime, vector",,,
General-13-20240904-20:32:23-25926,vector,RandomGrid.sink,sim_time:vector,,,,"5840.3","5840.3"
General-13-20240904-20:32:23-25926,attr,RandomGrid.sink,sim_time:vector,interpolationmode,none,,,
General-13-20240904-20:32:23-25926,attr,RandomGrid.sink,sim_time:vector,source,sim_time,,,
General-13-20240904-20:32:23-25926,attr,RandomGrid.sink,sim_time:vector,title,"simTime, vector",,,
General-14-20240904-20:32:30-25926,vector,RandomGrid.sink,sim_time:vector,,,,"2508.127","2508.127"
General-14-20240904-20:32:30-25926,attr,RandomGrid.sink,sim_time:vector,interpolationmode,none,,,
General-14-20240904-20:32:30-25926,attr,RandomGrid.sink,sim_time:vector,source,sim_time,,,
General-14-20240904-20:32:30-25926,attr,RandomGrid.sink,sim_time:vector,title,"simTime, vector",,,
General-0-20240904-19:36:56-25926,vector,RandomGrid.sink,sim_time:vector,,,,"223.847","223.847"
General-0-20240904-19:36:56-25926,attr,RandomGrid.sink,sim_time:vector,interpolationmode,none,,,
General-0-20240904-19:36:56-25926,attr,RandomGrid.sink,sim_time:vector,source,sim_time,,,
General-0-20240904-19:36:56-25926,attr,RandomGrid.sink,sim_time:vector,title,"simTime, vector",,,
General-18-20240904-20:33:02-25926,vector,RandomGrid.sink,sim_time:vector,,,,"8299.224","8299.224"
General-18-20240904-20:33:02-25926,attr,RandomGrid.sink,sim_time:vector,interpolationmode,none,,,
General-18-20240904-20:33:02-25926,attr,RandomGrid.sink,sim_time:vector,source,sim_time,,,
General-18-20240904-20:33:02-25926,attr,RandomGrid.sink,sim_time:vector,title,"simTime, vector",,,
General-19-20240904-20:33:13-25926,vector,RandomGrid.sink,sim_time:vector,,,,"6966.705","6966.705"
General-19-20240904-20:33:13-25926,attr,RandomGrid.sink,sim_time:vector,interpolationmode,none,,,
General-19-20240904-20:33:13-25926,attr,RandomGrid.sink,sim_time:vector,source,sim_time,,,
General-19-20240904-20:33:13-25926,attr,RandomGrid.sink,sim_time:vector,title,"simTime, vector",,,
General-20-20240904-20:33:21-25926,vector,RandomGrid.sink,sim_time:vector,,,,"3386.56","3386.56"
General-20-20240904-20:33:21-25926,attr,RandomGrid.sink,sim_time:vector,interpolationmode,none,,,
General-20-20240904-20:33:21-25926,attr,RandomGrid.sink,sim_time:vector,source,sim_time,,,
General-20-20240904-20:33:21-25926,attr,RandomGrid.sink,sim_time:vector,title,"simTime, vector",,,
General-15-20240904-20:32:37-25926,vector,RandomGrid.sink,sim_time:vector,,,,"7782.15","7782.15"
General-15-20240904-20:32:37-25926,attr,RandomGrid.sink,sim_time:vector,interpolationmode,none,,,
General-15-20240904-20:32:37-25926,attr,RandomGrid.sink,sim_time:vector,source,sim_time,,,
General-15-20240904-20:32:37-25926,attr,RandomGrid.sink,sim_time:vector,title,"simTime, vector",,,
General-16-20240904-20:32:47-25926,vector,RandomGrid.sink,sim_time:vector,,,,"6633.666","6633.666"
General-16-20240904-20:32:47-25926,attr,RandomGrid.sink,sim_time:vector,interpolationmode,none,,,
General-16-20240904-20:32:47-25926,attr,RandomGrid.sink,sim_time:vector,source,sim_time,,,
General-16-20240904-20:32:47-25926,attr,RandomGrid.sink,sim_time:vector,title,"simTime, vector",,,
General-17-20240904-20:32:55-25926,vector,RandomGrid.sink,sim_time:vector,,,,"3092.334","3092.334"
General-17-20240904-20:32:55-25926,attr,RandomGrid.sink,sim_time:vector,interpolationmode,none,,,
General-17-20240904-20:32:55-25926,attr,RandomGrid.sink,sim_time:vector,source,sim_time,,,
General-17-20240904-20:32:55-25926,attr,RandomGrid.sink,sim_time:vector,title,"simTime, vector",,,
